"publication_id","title","publication_year","publication_status","article_url","doi","journal","issn","eissn","volume","issue","pages","authors","item_type","open_access","accounting_affiliation_observed","abdc_rating","abdc_for","abdc_journal_title","abdc_match_method","abdc_match_status","abdc_list_version","source_url","harvested_at"
"is-internal-carbon-pricing-an-agent-of-change-in-the-green-transi","Is internal carbon pricing an agent of change in the green transition?","2026","Published - Jul 2026","https://research-repository.uwa.edu.au/en/publications/is-internal-carbon-pricing-an-agent-of-change-in-the-green-transi/","10.1016/j.bar.2025.101776","The British Accounting Review","0890-8389","","58","4","","Huifa Chen, Yuan George Shan, Alex Zhang","Research output: Contribution to journal › Article › peer-review","true","true","A*","3501","British Accounting Review","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"philanthropic-lottery-culture-and-corporate-social-responsibility","Philanthropic lottery culture and corporate social responsibility: evidence from China","2026","E-pub ahead of print - 17 Jun 2026","https://research-repository.uwa.edu.au/en/publications/philanthropic-lottery-culture-and-corporate-social-responsibility/","10.1080/13504851.2026.2688892","Applied Economics Letters","1350-4851","","","","","Jun Chen, Yuan George Shan, Yanfang Zhang","Research output: Contribution to journal › Article › peer-review","false","true","B","3801","Applied Economics Letters","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"risk-factor-disclosures-tone-and-implied-cost-of-equity","Risk factor disclosures tone and implied cost of equity","2026","Published - 2026","https://research-repository.uwa.edu.au/en/publications/risk-factor-disclosures-tone-and-implied-cost-of-equity/","10.1177/03128962261447079","Australian Journal of Management","0312-8962","","","","","Muhammad Farhan Malik, Yuan George Shan, Zirui Song, Jamie Yixing Tong","Research output: Contribution to journal › Article › peer-review","false","true","A","3502","Australian Journal of Management","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"tax-planning-under-pressure-the-impact-of-carbon-emissions-manage","Tax Planning Under Pressure: The Impact of Carbon Emissions Management Post-Paris Agreement","2026","Accepted/In press - 2026","https://research-repository.uwa.edu.au/en/publications/tax-planning-under-pressure-the-impact-of-carbon-emissions-manage/","10.1111/acfi.70183","Accounting and Finance","0810-5391","","","","","Aonan Sun, Yuan George Shan, Lyndie Bayne, Nishant Agarwal","Research output: Contribution to journal › Article › peer-review","true","true","A","3501","Accounting and Finance","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"the-british-accounting-review-special-issue-new-challenges-in-gov","The British Accounting Review: Special Issue New challenges in governance, sustainability and accountability of universities","2026","Published - Jan 2026","https://research-repository.uwa.edu.au/en/publications/the-british-accounting-review-special-issue-new-challenges-in-gov/","10.1016/j.bar.2025.101815","British Accounting Review","0890-8389","","58","1","","Phil Hancock, Ilse Lubbe, Neil Marriott, Angus Duff","Research output: Contribution to journal › Article › peer-review","true","true","A*","3501","British Accounting Review","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"the-effect-of-csr-assurance-on-subsequent-corporate-greenwashing-","The effect of CSR assurance on subsequent corporate greenwashing: Suggestion acquisition or opinion shopping?","2026","Published - Jul 2026","https://research-repository.uwa.edu.au/en/publications/the-effect-of-csr-assurance-on-subsequent-corporate-greenwashing-/","10.1016/j.bar.2025.101744","British Accounting Review","0890-8389","","58","4","","Chao Xing, Yuan George Shan, Fan Yang, Yuming Zhang","Research output: Contribution to journal › Article › peer-review","false","true","A*","3501","British Accounting Review","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"the-role-of-management-controls-in-managing-competing-institution","The Role of Management Controls in Managing Competing Institutional Logics: A Case Study of a Non-Government Organization","2026","Published - May 2026","https://research-repository.uwa.edu.au/en/publications/the-role-of-management-controls-in-managing-competing-institution/","10.1111/faam.70023","Financial Accountability and Management","0267-4424","","42","2","291-304","Frank Yuelong Ma, David Gilchrist, Vincent K. Chong, Lyndie Bayne","Research output: Contribution to journal › Article › peer-review","false","true","A","3501","Financial Accountability and Management","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"the-theory-of-adjusting-commitments-to-reestablish-balance-in-a-d","The theory of adjusting commitments to reestablish balance in a disrupted life. A classic grounded theory of mature-age women’s perspectives on navigating university study.","2026","Unpublished - 2026","https://research-repository.uwa.edu.au/en/publications/the-theory-of-adjusting-commitments-to-reestablish-balance-in-a-d/","10.26182/ra1z-ah97","","","","","","","Silvana Ilievska","Research output: Thesis › Doctoral Thesis","true","false","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"the-value-of-an-early-warning-from-crowdsourced-cybersecurity-vul","The Value of an Early Warning from Crowdsourced Cybersecurity Vulnerabilities","2026","E-pub ahead of print - 13 Mar 2026","https://research-repository.uwa.edu.au/en/publications/the-value-of-an-early-warning-from-crowdsourced-cybersecurity-vul/","10.1080/08874417.2026.2641007","Journal of Computer Information Systems","0022-0310","","","","","Wuqing Wu, Liuyi Zhang, Kaibin Zhang, Yuan George Shan","Research output: Contribution to journal › Article › peer-review","true","true","A","4609","Journal of Computer Information Systems","normalized journal title","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"threshold-concepts-in-the-preparation-of-consolidated-financial-s","Threshold Concepts in the Preparation of Consolidated Financial Statements","2026","Published - Jun 2026","https://research-repository.uwa.edu.au/en/publications/threshold-concepts-in-the-preparation-of-consolidated-financial-s/","10.1111/acfi.70163","Accounting and Finance","0810-5391","","66","2","1833-1846","Nikki Schönfeldt, Phil Hancock, Jacqueline Birt","Research output: Contribution to journal › Article › peer-review","false","true","A","3501","Accounting and Finance","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"tough-ratings-tougher-sell-how-different-types-of-adjustment-affe","Tough Ratings, Tougher Sell: How Different Types of Adjustment Affect Managers’ Asymmetric Algorithm Use in Performance Evaluation Judgments","2026","Published - May 2026","https://research-repository.uwa.edu.au/en/publications/tough-ratings-tougher-sell-how-different-types-of-adjustment-affe/","10.2308/TAR-2023-0610","Accounting Review","1558-7967","","101","3","413-440","Fangbin Lin, Mandy Cheng, Kerry Humphreys","Research output: Contribution to journal › Article › peer-review","true","true","A*","3501","The Accounting Review","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"urban-rail-transit-and-labour-cost-stickiness-evidence-from-china","Urban Rail Transit and Labour Cost Stickiness: Evidence From China","2026","E-pub ahead of print - 6 Apr 2026","https://research-repository.uwa.edu.au/en/publications/urban-rail-transit-and-labour-cost-stickiness-evidence-from-china/","10.1111/acfi.70213","Accounting and Finance","0810-5391","","","","","Guoliang Chen, Yuan George Shan, Wuqing Wu","Research output: Contribution to journal › Article › peer-review","false","true","A","3501","Accounting and Finance","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"a-new-approach-to-programs-for-families-and-children-submission-t","A New Approach to Programs for Families and Children: Submission to the Department of Social Services, Australian Government","2025","Published - 8 Dec 2025","https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-programs-for-families-and-children-submission-t/","","","","","","","","David Gilchrist, Ben Perks","Research output: Working paper › Discussion paper","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"aasb-research-centre-working-paper-no-26-02-service-performance-r","AASB Research Centre Working Paper No. 26-02: Service Performance Reporting for Private Sector Not-for-profits - An Updated Literature Review","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-02-service-performance-r/","","","","","","","","Ushi Ghoorah, David Gilchrist, Vien Chu, Mono Nikidehaghani, Cheri Yang, Yuyu Zhang","Research output: Working paper","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"aasb-research-centre-working-paper-no-26-03-service-performance-r","AASB Research Centre Working Paper No. 26-03: Service Performance Reporting - Insights from Domestic and International Experience","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-03-service-performance-r/","","","","","","","","Ushi Ghoorah, David Gilchrist, Vien Chu, Phil Hancock, Mono Nikidehaghani, Cherrie Yang, Yuyu Zhang","Research output: Working paper","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"aasb-working-paper-no-26-01-connectivity-of-non-financial-informa","AASB Working Paper No. 26-01: Connectivity of Non-Financial Information and Financial Information - A NFP Private Sector Study","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/aasb-working-paper-no-26-01-connectivity-of-non-financial-informa/","","","","","","","","Ushi Ghoorah, David Gilchrist, Craig Furneaux, Phil Hancock, Nikki Schonfeldt","Research output: Working paper","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"acquisition-year-earnings-and-operating-cash-flow-as-measures-of-","Acquisition-year earnings and operating cash flow as measures of firm performance","2025","Unpublished - 2025","https://research-repository.uwa.edu.au/en/publications/acquisition-year-earnings-and-operating-cash-flow-as-measures-of-/","10.26182/zjkq-s195","","","","","","","Jian Liang","Research output: Thesis › Doctoral Thesis","false","false","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"carbon-management-system-and-firm-operational-efficiency","Carbon Management System and Firm Operational Efficiency","2025","Published - Dec 2025","https://research-repository.uwa.edu.au/en/publications/carbon-management-system-and-firm-operational-efficiency/","10.1111/acfi.70086","Accounting and Finance","0810-5391","","65","4","3710-3738","Pramila Shrestha, Bobae Choi, Le Luo, Junru Zhang","Research output: Contribution to journal › Article › peer-review","true","true","A","3501","Accounting and Finance","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"costing-amp-pricing-for-human-services-framework-a-component-of-t","Costing & Pricing for Human Services Framework: A Component of the Human Services Costing & Pricing Resource Package","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/costing-amp-pricing-for-human-services-framework-a-component-of-t/","","","","","","","","David Gilchrist, Zoe Callis, Paul Flatau, Leanne Lester","Research output: Working paper","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"costing-amp-pricing-modelling-handbook-a-component-of-the-human-s","Costing & Pricing Modelling Handbook: A Component of the Human Services Costing & Pricing Resource Package","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/costing-amp-pricing-modelling-handbook-a-component-of-the-human-s/","","","","","","","","David Gilchrist, Zoe Callis, Paul Flatau, Leanne Lester","Research output: Working paper","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"editorial-third-sector-review-3","Editorial - Third Sector Review","2025","Published - 19 Dec 2025","https://research-repository.uwa.edu.au/en/publications/editorial-third-sector-review-3/","","Third Sector Review","1323-9163","","31","2","1-2","David Gilchrist","Research output: Contribution to journal › Editorial › peer-review","true","true","C","3507","Third Sector Review","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"financial-strategic-alliance-and-corporate-risk-taking-evidence-f","Financial Strategic Alliance and Corporate Risk-Taking: Evidence From China","2025","E-pub ahead of print - 28 Dec 2025","https://research-repository.uwa.edu.au/en/publications/financial-strategic-alliance-and-corporate-risk-taking-evidence-f/","10.1111/acfi.70158","Accounting and Finance","0810-5391","","","","","Wencheng Cao, Yuan George Shan","Research output: Contribution to journal › Article › peer-review","false","true","A","3501","Accounting and Finance","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"guest-editorial-carbon-emissions-trading-and-supply-chain-informa","Guest editorial: Carbon emissions trading and supply chain, information disclosure, and sustainability reporting assurance","2025","Published - Oct 2025","https://research-repository.uwa.edu.au/en/publications/guest-editorial-carbon-emissions-trading-and-supply-chain-informa/","10.1108/SAMPJ-09-2025-961","Sustainability Accounting, Management and Policy Journal","2040-8021","","16","5","1165-1168","Simone Domenico Scagnelli, Grantley Taylor, Yuan George Shan, Donghui Li","Research output: Contribution to journal › Editorial › peer-review","false","true","A","3501","Sustainability Accounting, Management and Policy Journal","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"human-services-costing-amp-pricing-resource-package-single-produc","Human Services Costing & Pricing Resource Package: Single Product Model","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-single-produc/","","","","","","","","David Gilchrist, Zoe Callis, Paul Flatau, Leanne Lester","Research output: Other contribution","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"human-services-costing-amp-pricing-resource-package-training-vide","Human Services Costing & Pricing Resource Package: Training Video 1 - Introduction","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-training-vide/","","","","","","","","David Gilchrist, Zoe Callis, Paul Flatau, Leanne Lester","Research output: Other contribution","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"human-services-costing-amp-pricing-resource-package-video-2-costi","Human Services Costing & Pricing Resource Package: Video 2 - Costing & Pricing Governance","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-video-2-costi/","","","","","","","","David Gilchrist, Zoe Callis, Paul Flatau, Leanne Lester","Research output: Other contribution","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"human-services-costing-amp-pricing-resource-package-video-3-the-n","Human Services Costing & Pricing Resource Package: Video 3 - The Nature of Costing","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-video-3-the-n/","","","","","","","","David Gilchrist, Zoe Callis, Paul Flatau, Leanne Lester","Research output: Other contribution","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"human-services-costing-amp-pricing-resource-package-video-4-the-m","Human Services Costing & Pricing Resource Package: Video 4 - The MS Excel Costing Models","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-video-4-the-m/","","","","","","","","David Gilchrist, Zoe Callis, Paul Flatau, Leanne Lester","Research output: Other contribution","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"human-services-costing-amp-pricing-resource-package-video-5-costi","Human Services Costing & Pricing Resource Package: Video 5 - Costing & Government Procurement","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-video-5-costi/","","","","","","","","David Gilchrist, Zoe Callis, Paul Flatau, Leanne Lester","Research output: Other contribution","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"human-services-costing-amp-pricing-resources-package-service-prov","Human Services Costing & Pricing Resources Package: Service Provider Model","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resources-package-service-prov/","","","","","","","","David Gilchrist, Zoe Callis, Paul Flatau, Leanne Lester","Research output: Other contribution","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"human-services-devolution-and-procurement-practice-the-australian","Human Services: Devolution and Procurement Practice - The Australian Experience","2025","Published - 11 Nov 2025","https://research-repository.uwa.edu.au/en/publications/human-services-devolution-and-procurement-practice-the-australian/","","","","","","","","David Gilchrist","Research output: Contribution to conference › Conference presentation/ephemera","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"ng-butlins-1959-monograph-colonial-socialism-in-australia-and-the","N.G. Butlin's 1959 Monograph ""Colonial Socialism in Australia"" and the Discourse in Economic History","2025","Published - 19 Jul 2025","https://research-repository.uwa.edu.au/en/publications/ng-butlins-1959-monograph-colonial-socialism-in-australia-and-the/","","","","","","","","David Gilchrist","Research output: Chapter in Book/Conference paper › Conference paper","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"open-university-uk-human-services-devolution-and-procurement-the-","Open University, UK: Human Services Devolution and Procurement - The Australian Experience","2025","Published - 11 Nov 2025","https://research-repository.uwa.edu.au/en/publications/open-university-uk-human-services-devolution-and-procurement-the-/","","","","","","","","David Gilchrist","Research output: Contribution to conference › Conference presentation/ephemera","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"real-cost-real-impact-case-study-series-northern-territory","Real Cost, Real Impact Case Study Series: Northern Territory","2025","Published - Oct 2025","https://research-repository.uwa.edu.au/en/publications/real-cost-real-impact-case-study-series-northern-territory/","","","","","","","","David Gilchrist, Ben Perks","Research output: Book/Report › Report","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"real-costs-real-impact-case-study-series-australia-capital-territ","Real Costs, Real Impact Case Study Series: Australia Capital Territory","2025","Published - Oct 2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impact-case-study-series-australia-capital-territ/","","","","","","","","David Gilchrist, Ben Perks","Research output: Book/Report › Report","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"real-costs-real-impact-case-study-series-geraldton-western-austra","Real Costs, Real Impact Case Study Series: Geraldton, Western Australia","2025","Published - Oct 2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impact-case-study-series-geraldton-western-austra/","","","","","","","","David Gilchrist, Ben Perks","Research output: Book/Report › Report","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"real-costs-real-impacts-case-study-series-brisbane-queensland","Real Costs, Real Impacts Case Study Series: Brisbane, Queensland","2025","Published - Oct 2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-case-study-series-brisbane-queensland/","","","","","","","","David Gilchrist, Ben Perks","Research output: Book/Report › Report","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"real-costs-real-impacts-case-study-series-victoria","Real Costs, Real Impacts Case Study Series: Victoria","2025","Published - Oct 2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-case-study-series-victoria/","","","","","","","","David Gilchrist, Ben Perks","Research output: Book/Report › Report","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"real-costs-real-impacts-case-study-series-wilcannia-forbes-new-so","Real Costs, Real Impacts Case Study Series: Wilcannia-Forbes, New South Wales","2025","Published - Oct 2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-case-study-series-wilcannia-forbes-new-so/","","","","","","","","David Gilchrist, Ben Perks","Research output: Book/Report › Report","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"real-costs-real-impacts-case-study-series-wollongong-new-south-wa","Real Costs, Real Impacts Case Study Series: Wollongong, New South Wales","2025","Published - Oct 2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-case-study-series-wollongong-new-south-wa/","","","","","","","","David Gilchrist, Ben Perks","Research output: Book/Report › Report","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"real-costs-real-impacts-policy-summit-booklet","Real Costs, Real Impacts Policy Summit Booklet","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-policy-summit-booklet/","","","","","","","","David Gilchrist, Ben Perks","Research output: Book/Report › Other output","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"real-costs-real-impacts-research-summary","Real Costs, Real Impacts Research Summary","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-research-summary/","","","","","","","","David Gilchrist, Ben Perks","Research output: Book/Report › Report","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
