title,doi,reason
Home loan unit trust arrangement: nature and quantum of advantage sought and analysis of tax effectiveness under the non-Part IVA provisions,,no DOI recorded
Home loan unit trust arrangements: analysis of application of Part IVA,,no DOI recorded
ATO's scrutiny of service trusts (entities) may result in over-punishment of taxpayers,,no DOI recorded
Denial of franking account credit for carry forward surplus may expose companies to 'franking additional tax,,no DOI recorded
Was the ATO too quick in rejecting a cash basis of 'incurred' - analysis of ATO's rejection against the background of a standard split loan,,no DOI recorded
Wish list of inclusions in forthcoming ruling on distributions of partnership profits,,no DOI recorded
Budplan case: Not a victory on every front for the Commissioner,,no DOI recorded
Assessable income dropout of receivables on changeover from cash to accruals tax accounting: Another nail in Henderson coffin,,no DOI recorded
Discount capital gains and car fringe benefits: Where is tax paternalism when it`s really needed?,,no DOI recorded
Home loan unit trust arrangement: Response to some pro-taxpayer assertions,,no DOI recorded
"Non self-executing nature of Part IVA: Potential opportunity for ATO, and pitfall for taxpayers",,no DOI recorded
Success of latest home loan tax scheme relies on taxation of imputed rent,,no DOI recorded
Tips and Gratuities: Inconsistent treatment is hard to justify,,no DOI recorded
Vincent case contains one concern for ATO,,no DOI recorded
GST: Selling business cars - another pitfall for the unwary,,no DOI recorded
GST: Selling business cars - another pitfall for the unwary,,no DOI recorded
PSI Rules and Part IVA: Unlikely to be an exclusive code,,no DOI recorded
Political Parties and ATO embrace presumptive taxes: Scope for further use?,,no DOI recorded
GST and Commercial Real Estate: A Double Warning for Owners,,no DOI recorded
GST on Commercial Real Estate,,no DOI recorded
The Impact of GST on Sale and Rental of Real Estate,,no DOI recorded
When and How to Use the GST Property Margin Scheme,,no DOI recorded
Australia’s GST & Commercial Real Estate: Words of Caution for Foreign Investors,,no DOI recorded
Australia’s Tax Reform Rejects or Modifies Fundamental Tax Principles,,no DOI recorded
Cash Flow/Tax Value Method: Platform for Accruals Taxation Indelibly Planted,,no DOI recorded
Deductions for Expenses of Travelling to and from Work: Reminder of Obscure Deduction,,no DOI recorded
Proposed Cash Flow/Tax Value Method Provides Base for Accruals Taxation,,no DOI recorded
Proposed Cash Flow/Tax Value Method of Determining Taxable Income: Structure and Application,,no DOI recorded
Retaining a Work in Progress Advantage under the Ralph Report,,no DOI recorded
Continuity of Business Tests Facilitate the Transfer of Tax Attributes under Australia’s Income Tax: Technical Issues and Policy Justification,,no DOI recorded
Difference between Trust Law Income and Taxable Income: Challenge for Supporters of Quantum View,,no DOI recorded
GST and Trade Unions,,no DOI recorded
Relearning and Unlearning Established Tax Concepts,,no DOI recorded
FCT v Rowe: Will the High Court Overrule Itself?,,no DOI recorded
FCT v Rowe: Will the High Court Overrule Itself?,,no DOI recorded
Cast in Concrete: The Allowable Deduction Provisions,,no DOI recorded
FBT Deductibility: Policy Issues and TR 95/24,,no DOI recorded
FBT deductibility Draft Ruling: Technically Deficient but still useful for many Taxpayers,,no DOI recorded
Section 80E and the Continuity of Business Draft Ruling: Time to Focus on Key Matters,,no DOI recorded
CGT and Damages: The Challenge to Restore Coherence - Part 1: The basic Principles and Problems,,no DOI recorded
CGT and Damages: The Challenge to Restore Coherence - Part 2: A Suggested Framework for Approaching the Problem,,no DOI recorded
Ill-gotten gains and the ATO’s Ruling: Some Observations,,no DOI recorded
The Section 51 Private/Income Producing Boundary: Some Recent Developments and the Future,,no DOI recorded
CGT and Damages Awards: The Essential Issues,,no DOI recorded
Capital Gains Tax and Damages: The treatment can cohere with the CGT framework,,no DOI recorded
Legal Professional Privilege: The Case for Tax Accountants’ Clients,,no DOI recorded
"Taxpayer Complaints: The new Objection, Appeal and Review Provisions",,no DOI recorded
Superannuation taxation: Options for best practice reform,,no DOI recorded
The democratisation of international taxation: Stemming aggressive tax practices for economic development,,no DOI recorded
Revisiting Unitary Taxation with Formulary Apportionment Using Public Country-by-Country Reports,,no DOI recorded
A diagnostic tool for assessing the corporate income tax compliance burden: Pilot study findings,,no DOI recorded
An empirical study of the Australian Senate Inquiry into corporate tax avoidance,,no DOI recorded
A matter of trust? Corporate taxpayers' experience with the ATO's Justified Trust Program,,no DOI recorded
New frontiers in tax administration,,no DOI recorded
The impact of full franking credit refundability on corporate tax avoidance,,no DOI recorded
The impact of increased tax transparency via public country-by-country reporting on corporate tax aggressiveness: evidence from the European Union,,no DOI recorded
Voluntary tax disclosures and corporate tax avoidance: Evidence from Australia,,no DOI recorded
Audit Reporting on Going-Concern Uncertainty: A Research Synthesis,,no DOI recorded
Audit reports in Australia During the Period of the Global Financial Crisis,,no DOI recorded
Threats to Auditor Independence:  The Impact of Relationship and Economic Bonds,,no DOI recorded
Impact of the Sarbanes Oxley Act on the Audit Fees of Australian Listed Firms,,no DOI recorded
The Impact of Stakeholder Characteristics on Voluntary Dissemination of Interim Information and Communication of its Level of Assurance.,,no DOI recorded
Note on Audit Fee Premiums to Client Size and Industry Specialisation.,,no DOI recorded
Australian Audit Reports: 1996-2003,,no DOI recorded
Audit Fees and Market Segmentation - Further Evidence on How Client Size Matters within the Context of Audit Fee Models,,no DOI recorded
Factors associated with the development of board sub-committees,,no DOI recorded
New assurance services: professional guidance required,,no DOI recorded
The development of board sub-committees,,no DOI recorded
Webtrust: taking on the challenge of internet assurance,,no DOI recorded
The effect of framing and negotiation partner's objective on judgments about negotiated transfer prices,,no DOI recorded
Managing intellectual capital in a professional service firm: exploring the creativity-productivity paradox,,no DOI recorded
How do you like your digital advisors? A review of research on the behavioral responses to decision algorithms in the management accounting context,,no DOI recorded
The impact of capital proposal guidelines and perceived preparer biases on reviewers’ investment evaluation decisions,,no DOI recorded
Transfer price negotiation in the presence of unequal bargaining power: the effect of peer evaluation scheme on inter-divisional profit distribution,,no DOI recorded
Knowledge transfer in project reviews: the effect of self-justification bias and moral hazard,,no DOI recorded
The effect of framing and negotiation partner's objective on judgments about negotiated transfer prices,,no DOI recorded
The Effect of perceived Conflict among Multiple Performance Goals and Goal Difficulty on Task Performance,,no DOI recorded
Corporate governance and board composition: Diversity and independence of Australian boards,10.1111/j.1467.8683.2007.00554.x,DOI not found in OpenAlex
Persistence in capital budgeting reinvestment antecedent and information asymmetry moderator: A note,,no DOI recorded
"Private Provision of Road Infrastructure:  Unveiling the Inconvenient Truth in new South Wales, Australia",,no DOI recorded
Public Private Partnerships: An Early Experience in Australia,,no DOI recorded
Explaining House Prices in Australia: 1970 to 2003,,no DOI recorded
Sliding doors: Comparing backdoor listing and frontdoor listing for Australian start-ups,,no DOI recorded
Risk Premium in Electricity Prices: Evidence from the PJM Market,,no DOI recorded
A Markov chain modulated short-term interest rate model: Inference on Central bank transparency,,no DOI recorded
Hedging diffusion processes by local risk minimization with applications to index tracking,,no DOI recorded
Real Options Valuation of Australian Gold Mines and Mining Companies,,no DOI recorded
"Dividend imputation in Australia: franking credits, tax changes and payout policy",,no DOI recorded
Dynamic-cognition of Strategic Mineral Commodities; An Empirical  Assessment,,no DOI recorded
Is Benchmark Beating by Australian Firms Evidence of Earnings Management Accounting and Finance,,no DOI recorded
"When geopolitical risk rises, innovation stalls",,no DOI recorded
Incomplete Information Equilibria:  Separation Theorems and Other Myths,,no DOI recorded
Mortgage Default:  Classification Trees Analysis,,no DOI recorded
Fruit Pectin in Pineapple Juice Detection by Cavity Ring-Down Spectroscopy,,no DOI recorded
Still of great Interest today: the Maillard Reaction,,no DOI recorded
The formation of colored compounds in technical sucrose solutions - new knowledge about their molecular basics and molecular size distribution,,no DOI recorded
Non-Standard Errors,,no DOI recorded
Limit Order Revisions,,no DOI recorded
Do active fund managers care about capital gains tax efficiency?,,no DOI recorded
The Value of Alpha Forecasts in Portfolio Construction,,no DOI recorded
Style drift and portfolio management for active Australian equity funds,,no DOI recorded
Benchmarking benchmarks: measuring characteristic selectivity using portfolio holdings data,,no DOI recorded
The state of origin of Australian equity: Does active fund manager location matter?,,no DOI recorded
Where Do Australian Active Equity Managers Outperform?,,no DOI recorded
How much do locals contribute to the price discovery process?,,no DOI recorded
Real Options Valuation of Australian Gold Mines and Mining Companies,,no DOI recorded
Overnight futures trading:  now even Australia and US have common trading hours,,no DOI recorded
Stock market closure and intraday stock index futures market volatility: `contagin` bid-ask bias or both?,,no DOI recorded
Why Do Option Prices Predict Stock Returns? The Role of Price Pressure in the Stock Market,,no DOI recorded
Understanding the structure of audit workpaper error knowledge and its relationship with workpaper review performance,,no DOI recorded
Improving Assessments of Another Auditors Competence,,no DOI recorded
The Impact of Differences in Ambiguity Tolerance on Accounting Standard Interpretation: Implications and Responses,,no DOI recorded
The Importance in Accounting of Ambiguity Tolerance at the National Level: Evidence from Australia and China.,,no DOI recorded
Supplemental instruction and the first course in accounting,,no DOI recorded
Hierarchical differences in audit workpaper review performance,,no DOI recorded
User involvement in the standard-setting process: a research note on the congruence of accountant and user perceptions of decision usefulness.,,no DOI recorded
Does Audit Quality Improve after the Implementation of Mandatory Audit Partner Rotation?,,no DOI recorded
Mandatory auditor rotation – Australian Evidence,,no DOI recorded
From Project Audit to Performance Audit: Evolution of Performance Auditing in Australia,,no DOI recorded
"Decoding the complexity: How financial reports have grown less readable, why it matters, and what we can do about it",10.1093/cmlj/kmaf002,DOI not found in OpenAlex
"Diversification in Private Equity Funds: On Knowledge Sharing, Risk Aversion, and Limited Attention",,no DOI recorded
Balanced Budget Rules and Expenditure Limits: Lessons from the US and Australia and Implications for the EU,,no DOI recorded
The Desirability of ‘Weak’ Form Legal Harmonization: Perspectives from Statutory Interpretation and Legal Coherence,,no DOI recorded
Internal and external discipline following securities class actions,,no DOI recorded
"Securities Fraud Compensation: A Legislative Scheme Drawing on China, the US, and the UK",,no DOI recorded
When Does 'Fraud on the Market' Induce a Right to Damages?,,no DOI recorded
Should Common Law Doctrines Dynamically Guide the Interpretation of Statutes?,,no DOI recorded
Kathy Lund Dean. How to Become an Effective Journal Editor in Business and Management: A Guide to Developing Authors. How To Guides.,10.3138/jsp-2025-0107,DOI not found in OpenAlex
A credit-based theory of the currency risk premium,,no DOI recorded
Sovereign defaults by currency denomination,,no DOI recorded
International firm investment under exchange rate uncertainty,,no DOI recorded
The European Debt Crisis,,no DOI recorded
The dynamics of sovereign credit risk,,no DOI recorded
Convertible debt and shareholder incentives,,no DOI recorded
Corporate governance and earnings management: An Australian perspective,,no DOI recorded
Corporate Voluntary Disclosure Practices:  A Review of Content Analysis Research,,no DOI recorded
Corporate governance and board composition: Diversity and independence of Australian boards,10.1111/j.1467.8683.2007.00554.x,DOI not found in OpenAlex
Redefining ATO Powers at the Intersection of Debt and Financial Vulnerability,,no DOI recorded
Squeezing blood from stones? A comparative analysis of tax relief for victim-survivors in Australia and the United States,,no DOI recorded
Identifying and supporting financially vulnerable women experiencing economic abuse: a grounded theory approach,,no DOI recorded
Pro Bono Tax Clinics: Aiding Australia's Tax Administration and Developing Students’ Self-Efficacy,,no DOI recorded
WORK-INTEGRATED LEARNING FOR INTERNATIONAL STUDENTS: DEVELOPING SELF-EFFICACY THROUGH THE AUSTRALIAN NATIONAL TAX CLINIC PROGRAM,,no DOI recorded
Tax Accounting for Financial Wellbeing: Quantifying the Unmet need for Pro Bono Tax Advice,10.3316/agispt.20230105081319,DOI not found in OpenAlex
The exploitation of tax professional expenses for tax minimisation: Evidence from Australia,10.3316/informit.20220804071765,DOI not found in OpenAlex
Serious Hardship Relief: In Need of a Serious Rethink?,,no DOI recorded
To cap or not to cap? Policy options for dealing with the costs of managing tax affairs deduction in Australia,10.3316/informit.255532586461407,DOI not found in OpenAlex
Interprofessional Collaborative Practice In Pro Bono Tax Clinics: A Case Study Approach,,no DOI recorded
Pro Bono Tax Clinics: An international comparison and framework for evidence-based evaluation,,no DOI recorded
Curtailing aggressive tax planning: The case for introducing mandatory disclosure rules in Australia – Cues from the United Kingdom and South Africa for effective Design Features (Part 2),,no DOI recorded
The Deductibility of Tax-related Expenses: Historical and Comparative Perspectives,,no DOI recorded
Curtailing aggressive tax planning: The case for introducing mandatory disclosure rules in Australia (Part 1),,no DOI recorded
Doing the BEPS we can? Addressing distortions in the cross-border intercompany setting,,no DOI recorded
Simulating Tax-Minimization Strategies of Multinationals: Evaluating the Effectiveness of Changes in the United Kingdom’s Corporate Interest Deductibility Rule,,no DOI recorded
The importance of lawyers in international tax policy design and development: An exploration and extension of the legal-economic literature,,no DOI recorded
Implementing corporate tax cuts at the expense of neutrality? A legal and optimisation analysis of fundamental reform in practice,,no DOI recorded
PlayTax: 'Gamifying' International Tax Teaching,,no DOI recorded
International tax planning by multinationals: Simulating a tax-minimising intercompany response to the OECD’s recommendation on BEPS Action 4,,no DOI recorded
Navigating BEPS – OECD's Action 4,,no DOI recorded
OECD's Fixed Ratio Rule more effective than thin cap?,,no DOI recorded
What’s BEPS got to do with it? Exploring the effectiveness of thin capitalisation rules,,no DOI recorded
Taxing cross-border intercompany transactions: Are financing activities fungible?,,no DOI recorded
Non-Standard Errors,,no DOI recorded
Identifying and supporting financially vulnerable women experiencing economic abuse: a grounded theory approach,,no DOI recorded
A cluster analysis of individual taxpayers — what are the characteristics of taxpayers who realise capital gains?,,no DOI recorded
Tax Accounting for Financial Wellbeing: Quantifying the Unmet need for Pro Bono Tax Advice,10.3316/agispt.20230105081319,DOI not found in OpenAlex
The exploitation of tax professional expenses for tax minimisation: Evidence from Australia,10.3316/informit.20220804071765,DOI not found in OpenAlex
The impact of full franking credit refundability on corporate tax avoidance,,no DOI recorded
To cap or not to cap? Policy options for dealing with the costs of managing tax affairs deduction in Australia,10.3316/informit.255532586461407,DOI not found in OpenAlex
The impact of tax rate changes on capital gains realisations:  evidence from Australia,,no DOI recorded
Taxing personal capital gains in Australia: An alternative way forward,,no DOI recorded
"Taxing capital gains – views from Australia, Canada and the United States",,no DOI recorded
The Effect of Auditors’ Industry Expertise on the Relation between Auditor Tenure and Audit Quality and Profile Analysis of Mandatorily Rotated Auditors,,no DOI recorded
Auditor Tenure and Audit Quality: Evidence from the Korean Audit Market.,,no DOI recorded
Does Credit Rating Affect Relation between Audit Tenure and Audit Quality in Voluntary Audit Rotation Environment?,,no DOI recorded
Tax Accounting for Financial Wellbeing: Quantifying the Unmet need for Pro Bono Tax Advice,10.3316/agispt.20230105081319,DOI not found in OpenAlex
Interprofessional Collaborative Practice In Pro Bono Tax Clinics: A Case Study Approach,,no DOI recorded
How pension accounts can exceed $1.6million,,no DOI recorded
Superannuation Tax reform:the new fairness measures,,no DOI recorded
10 quick points on super reform for dummies,,no DOI recorded
"Budget super changes and AFSL advising in the
SMSF juggernaut",,no DOI recorded
SMSF Accountants and the unexploded grenade,,no DOI recorded
"So, you want to get into the SMSF market? Here's what you need to know. Part 2",,no DOI recorded
Labor's super plan would add complexity but not tackle inequity,,no DOI recorded
Ructions in the SMSF market,,no DOI recorded
"So, you want to get into the  SMSF market? Here's what you need to know.",,no DOI recorded
What exactly is the role of the ATO in SMSFs?,,no DOI recorded
"Tax-aware investment management by public offer superannuation funds in Australia: Attitudes, practices and expectations",,no DOI recorded
Are public super funds tax efficient?,,no DOI recorded
Interesting things about superannuation: The Federal budget and contribution strategies,,no DOI recorded
Observations from the front of the room: what are these SMSF things anyway?,,no DOI recorded
SMSFs and residency requirements,,no DOI recorded
Tax and financial planning process,,no DOI recorded
"Update on super changes, the levy and contribution caps",,no DOI recorded
Optimal Rules for Defined Contribition Plans: What can we learn from the U.S. and Australian Pension Systems?,,no DOI recorded
Taxation of Superannuation: 2012 in review,,no DOI recorded
Not so sure that is the way that Part 8 works,,no DOI recorded
Want to know how to run a pension fund? Ask the ATO,,no DOI recorded
Recent tax changes,,no DOI recorded
Risk as a Measure in Taxing Financial Arrangements,,no DOI recorded
Contribution deductions: some unintended consequences,,no DOI recorded
Investigating the pension rules,,no DOI recorded
LRBA-members forgiving loans to their SMSF,,no DOI recorded
Tax Distortions and Retail Investors,,no DOI recorded
New Zealand retirement saving and taxation: Lessons from Australia,,no DOI recorded
Contribution deductions: Some unintended consequences,,no DOI recorded
Infrastructure taxation: Anti-avoidance and tax efficiency,,no DOI recorded
Running a business in a superannuation fund,,no DOI recorded
"Now just add back the sacrificed salary: Changes to the income test for the 10% rule, co-contributions and spouse tax offset",,no DOI recorded
Public private partnerships: tax depreciation and deductions for infrastructure projects,,no DOI recorded
Valuing unrealised gains in mutual funds,10.2469/pwmn.v2009.n1.19?src=recsys,DOI not found in OpenAlex
Finance Lease Taxation: Surviving the TOFA Tsunami,,no DOI recorded
Contributing to the understanding of contributions,,no DOI recorded
Contribution Strategies: Checklist for Planners,,no DOI recorded
Infrastructure Taxation,,no DOI recorded
"Opinion: `What is after-tax reporting, and how can it be improved`",,no DOI recorded
Finance Lease Taxation: Giving Tax Losses to Lenders,,no DOI recorded
Benefit Taxation: A Walk Through the Proposed Legislation,,no DOI recorded
Generation Y Fights Back,,no DOI recorded
"Super Solutions: Superannuation Taxation: All Good, Just Two Risks Left Exposed",,no DOI recorded
"Superannuation Taxation: Less Equitable, Less Functional",,no DOI recorded
Taxation of Infrastructure,,no DOI recorded
A critical analysis of the proposed changes to superannuation taxation,,no DOI recorded
Hidden tax Advantages of Collective Investment Vehicles,,no DOI recorded
I can`t explain it. It just isn`t fair! Retirement funding taxation: inequity and inefficiency between employees and the small business owner,,no DOI recorded
Managing the Tax Advantages of Collective Investment Vehicles,,no DOI recorded
Mardi Gras Superannuation,,no DOI recorded
Taxation as a Driver for Designing Hybrid Securities,,no DOI recorded
Vale the tech services director? Not just yet,,no DOI recorded
Channelling salary through a superannuation fund: have the new rules unleashed a monster?,,no DOI recorded
Effect of the debt/equity rules on the hybrid capital market,,no DOI recorded
Impact of the new debt/equity rules on the hybrid capital market: an empirical study,,no DOI recorded
Letter from Australia,,no DOI recorded
Treasury`s review of pensions in small superannuation funds,,no DOI recorded
2004 federal budget superannuation initiatives,,no DOI recorded
Employee v self employed retirement funding,,no DOI recorded
Impact of the new debt/equity rules on the hybrid capital market,,no DOI recorded
MLIS and other Pension changes,,no DOI recorded
New Surcharge Rates,,no DOI recorded
Taxing Retirement funding of the self employed,,no DOI recorded
Taxing retirement funding employee v self employed,,no DOI recorded
Taxing retirement funding of the employed,,no DOI recorded
Treasury releases discussion paper; transiting to retirement,,no DOI recorded
Insights into Australians’ Perceptions of Over-Taxation,,no DOI recorded
Bioprospecting and Decolonisation of Ex-Situ for Indigenous Data Sovereignty in Australia,,no DOI recorded
The income tax exemption for sporting associations,,no DOI recorded
Fair Access or Mirage? A Biodiscovery Case Study at Uluru for Indigenous Benefit-sharing,,no DOI recorded
Reflections on the History of the Australasian Tax Teachers Association since 2013,,no DOI recorded
(In preparation) International business students studying taxation and law subjects: Can technology be used to develop a deeper approach?,,no DOI recorded
Pro Bono Tax Clinics: An international comparison and framework for evidence-based evaluation,,no DOI recorded
"Henry Austen, Banker and Receiver-General of Taxes for Oxfordshire",,no DOI recorded
Henry Austen: Banker and tax collector,,no DOI recorded
"The Case for Specific Exemptions from the Goods and Services Tax: What should we do about Food, Health and Housing?",,no DOI recorded
"Collection and Administration of Taxes during the reign of King George III: The example of Jane Austen’s Brother, Henry, Receiver-General of Taxes for Oxfordshire 1813-1816",,no DOI recorded
GST exemptions,,no DOI recorded
Selling University Admission is hardly charitable,,no DOI recorded
The History of collection of Taxes during the Regency Period,,no DOI recorded
Unincorporated Associations: Legal and Tax Consequences,,no DOI recorded
User needs and the building blocks of regulation: Using participatory design to prototype social enterprise legal structures in Australia,,no DOI recorded
Social Entrepreneurs: An Evaluation of the Pty Ltd Company from a Corporation's Law and Taxation Law Perspective,,no DOI recorded
Social Entrepreneurs: An evaluation of the proprietary limited company from a corporation's law and taxation law perspective,,no DOI recorded
Crowdfunding: What are the tax issues?,,no DOI recorded
Riding the Wave of Law Reform: Advocacy as a Charitable Purpose under Australian Law,,no DOI recorded
The Income Tax Exemption of Charities and Tax Deductibility of Charitable Donations: United States of America and Australia compared,,no DOI recorded
Tax deductibility of philanthropic donations: reform of specific listing provisions in Australia,,no DOI recorded
Using Blended Learning to Aid Law and Business Students' Understanding of Taxation Law Problems,,no DOI recorded
The Rise and Fall (?) of two Charities Commissions: How common law countries can learn from the experiences in New Zealand and Australia,,no DOI recorded
Compensation for Extinguishment of Native Title: Griffiths v The Northern Territory represents a major step forward for native title holders,,no DOI recorded
The Sociopolitical and Legal History of the Tax Deduction for Donations to Charities in Australia and how the ‘Public Benevolent Institution’ developed,,no DOI recorded
